Plasmanyl-LPC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_Choline&H2O&Formate,GlyceroPC_NLCH3&H2O,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmanyl-LPC(O-16:0)+HCO2,524.3358,464.31466,393.24116,375.2306,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-16:1)+HCO2,522.32015,462.29901,391.22551,373.21495,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:0)+HCO2,552.3671,492.34596,421.27246,403.2619,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-18:1)+HCO2,550.35145,490.33031,419.25681,401.24625,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:0)+HCO2,580.3984,520.37726,449.30376,431.2932,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-20:1)+HCO2,578.38275,518.36161,447.28811,429.27755,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:0)+HCO2,608.4297,548.40856,477.33506,459.3245,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-22:1)+HCO2,606.4141,546.39296,475.31946,457.3089,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:0)+HCO2,636.461,576.43986,505.36636,487.3558,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:1)+HCO2,634.4454,574.42426,503.35076,485.3402,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(O-24:2)+HCO2,632.4298,572.40866,501.33516,483.3246,224.06881,168.04314,152.99586,96.96964,78.95852
