Plasmanyl-LPC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_Choline&H2O&C2H3O2,GlyceroPC_NLCH3&H2O,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmanyl-LPC(P-16:0)+C2H3O2,538.3514,464.31466,393.24116,375.2306,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-16:1)+C2H3O2,536.33575,462.29901,391.22551,373.21495,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-18:0)+C2H3O2,566.3827,492.34596,421.27246,403.2619,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-18:1)+C2H3O2,564.36705,490.33031,419.25681,401.24625,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-20:0)+C2H3O2,594.414,520.37726,449.30376,431.2932,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-20:1)+C2H3O2,592.39835,518.36161,447.28811,429.27755,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-22:0)+C2H3O2,622.4453,548.40856,477.33506,459.3245,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-22:1)+C2H3O2,620.4297,546.39296,475.31946,457.3089,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-24:0)+C2H3O2,650.4766,576.43986,505.36636,487.3558,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-24:1)+C2H3O2,648.461,574.42426,503.35076,485.3402,224.06881,168.04314,152.99586,96.96964,78.95852
Plasmanyl-LPC(P-24:2)+C2H3O2,646.4454,572.40866,501.33516,483.3246,224.06881,168.04314,152.99586,96.96964,78.95852
